chunk_id,document_id,category,title,text
CH001,SP001,service_policies,Service Availability,Customer support services are available during the company's standard support hours.
CH002,SP002,service_policies,Service Requests,Customers can contact the support team for questions related to their services and products.
CH003,SP003,service_policies,Service Quality,Support requests should be handled according to the company's service quality standards.
CH004,FAQ001,support_faqs,How can I contact support?,Customers can contact support through the approved customer support channels.
CH005,FAQ002,support_faqs,What information should I provide?,Customers should provide a clear description of their issue and relevant account or product information.
CH006,FAQ003,support_faqs,How is my issue handled?,Support requests are reviewed based on the issue type and assigned support priority.
CH007,CON001,contract_information,Contract Duration,The contract duration depends on the service plan selected by the customer.
CH008,CON002,contract_information,Contract Terms,Customers should review the applicable contract terms before making changes to their service.
CH009,CAN001,cancellation_policies,Cancellation Request,Customers can submit a cancellation request through the approved customer support process.
CH010,CAN002,cancellation_policies,Cancellation Review,Cancellation requests are reviewed according to the customer's contract and applicable business rules.
CH011,CAN003,cancellation_policies,Cancellation Confirmation,Customers should receive confirmation after their cancellation request has been processed.
CH012,BIL001,billing_policies,Billing Questions,Customers with billing questions should provide relevant billing information so the issue can be investigated.
CH013,BIL002,billing_policies,Payment Issues,Payment issues should be reviewed against the customer's account and available payment records.
CH014,BIL003,billing_policies,Billing Review,Billing concerns should be investigated before any account-related billing action is taken.
CH015,RET001,retention_guidelines,Understanding Customer Concerns,Support representatives should understand the customer's concern before discussing retention options.
CH016,RET002,retention_guidelines,Retention Options,Retention options should follow the company's approved retention guidelines.
CH017,SUP001,support_procedures,Ticket Creation,A support ticket should contain enough information to understand and investigate the customer's issue.
CH018,SUP002,support_procedures,Troubleshooting,Support representatives should follow the approved troubleshooting procedure for technical issues.
CH019,SUP003,support_procedures,Issue Escalation,Issues that cannot be resolved through normal support procedures should be escalated to the appropriate support team.
CH020,BR001,business_rules,Customer Verification,Customer information should be verified before performing account-specific actions.
CH021,BR002,business_rules,Customer Data Handling,Customer information should be handled according to the company's approved data-handling rules.
CH022,SP004,service_policies,Service Eligibility,Customers should meet the eligibility requirements associated with the selected service.
CH023,SP005,service_policies,Service Activation,Service activation should follow the standard activation process defined for the selected service.
CH024,SP006,service_policies,Service Changes,Requests to change a service should be reviewed before the requested change is applied.
CH025,SP007,service_policies,Service Requests Priority,Service requests should be prioritized according to their urgency and business priority.
CH026,SP008,service_policies,Service Notifications,Customers should be informed about important service changes or planned interruptions when applicable.
